,flu
306,0.13069908814574469
307,0.1398176291797872
308,0.14893617021276595
309,0.1458966565351064
310,0.14285714285744683
311,0.1398176291797872
312,0.13677811550106383
313,0.13373860182340425
314,0.13069908814574469
315,0.1276595744680851
316,0.13373860182340425
317,0.1398176291797872
318,0.1458966565351064
319,0.1519756838904255
320,0.1580547112457447
321,0.16413373860212768
322,0.1702127659574468
323,0.1595744680851064
324,0.14893617021276595
325,0.13829787234042554
326,0.1276595744680851
327,0.11702127659574468
328,0.10638297872340426
329,0.09574468085106383
330,0.09422492401170213
331,0.09270516717340427
332,0.09118541033404255
333,0.08966565349574468
334,0.08814589665638298
335,0.08662613981808512
336,0.0851063829787234
337,0.0835866261393617
338,0.08206686930106384
339,0.08054711246170213
340,0.07902735562340425
341,0.07750759878404255
342,0.07598784194574469
343,0.07446808510638298
344,0.07750759878404255
345,0.08054711246170213
346,0.0835866261393617
347,0.08662613981808512
348,0.08966565349574468
349,0.09270516717340427
350,0.09574468085106383
351,0.09574468085106383
352,0.09574468085106383
353,0.09574468085106383
354,0.09574468085106383
355,0.09574468085106383
356,0.09574468085106383
357,0.09574468085106383
358,0.09422492401170213
359,0.09270516717340427
360,0.09118541033404255
361,0.08966565349574468
362,0.08814589665638298
363,0.08662613981808512
364,0.0851063829787234
365,0.0851063829787234
366,0.0851063829787234
367,0.0851063829787234
368,0.0851063829787234
369,0.0851063829787234
370,0.0851063829787234
371,0.0851063829787234
372,0.09118541033404255
373,0.09726443769042553
374,0.1033434650457447
375,0.10942249240106382
376,0.115501519756383
377,0.12158054711276597
378,0.1276595744680851
379,0.13069908814574469
380,0.13373860182340425
381,0.13677811550106383
382,0.1398176291797872
383,0.14285714285744683
384,0.1458966565351064
385,0.14893617021276595
386,0.1595744680851064
387,0.1702127659574468
388,0.18085106382978725
389,0.19148936170212766
390,0.20212765957446807
391,0.2127659574468085
392,0.22340425531914893
393,0.22188449847978725
394,0.22036474164148936
395,0.21884498480212763
396,0.2173252279638298
397,0.21580547112446807
398,0.2142857142861702
399,0.2127659574468085
400,0.21884498480212763
401,0.22492401215851063
402,0.2310030395138298
403,0.23708206686914893
404,0.2431610942244681
405,0.24924012158085107
406,0.2553191489361702
407,0.24924012158085107
408,0.2431610942244681
409,0.23708206686914893
410,0.2310030395138298
411,0.22492401215851063
412,0.21884498480212763
413,0.2127659574468085
414,0.20972644376914895
415,0.2066869300914894
416,0.20364741641382977
417,0.2006079027351064
418,0.19756838905744678
419,0.19452887537978722
420,0.19148936170212766
421,0.18996960486276598
422,0.1884498480244681
423,0.18693009118510637
424,0.18541033434680854
425,0.1838905775074468
426,0.18237082066914892
427,0.18085106382978725
428,0.17325227963510637
429,0.1656534954404255
430,0.1580547112457447
431,0.15045592705212765
432,0.14285714285744683
433,0.13525835866276598
434,0.1276595744680851
435,0.1291793313074468
436,0.13069908814574469
437,0.1322188449851064
438,0.13373860182340425
439,0.13525835866276598
440,0.13677811550106383
441,0.13829787234042554
442,0.13829787234042554
443,0.13829787234042554
444,0.13829787234042554
445,0.13829787234042554
446,0.13829787234042554
447,0.13829787234042554
448,0.13829787234042554
449,0.13373860182340425
450,0.1291793313074468
451,0.12462006079042554
452,0.12006079027340424
453,0.115501519756383
454,0.11094224924042555
455,0.10638297872340426
456,0.10790273556276594
457,0.10942249240106382
458,0.11094224924042555
459,0.11246200607872339
460,0.11398176291808511
461,0.115501519756383
462,0.11702127659574468
463,0.11702127659574468
464,0.11702127659574468
465,0.11702127659574468
466,0.11702127659574468
467,0.11702127659574468
468,0.11702127659574468
469,0.11702127659574468
470,0.115501519756383
471,0.11398176291808511
472,0.11246200607872339
473,0.11094224924042555
474,0.10942249240106382
475,0.10790273556276594
476,0.10638297872340426
477,0.1033434650457447
478,0.1003039513680851
479,0.09726443769042553
480,0.09422492401170213
481,0.09118541033404255
482,0.08814589665638298
483,0.0851063829787234
484,0.08814589665638298
485,0.09118541033404255
486,0.09422492401170213
487,0.09726443769042553
488,0.1003039513680851
489,0.1033434650457447
490,0.10638297872340426
491,0.11246200607872339
492,0.11854103343510637
493,0.12462006079042554
494,0.13069908814574469
495,0.13677811550106383
496,0.14285714285744683
497,0.14893617021276595
498,0.1458966565351064
499,0.14285714285744683
500,0.1398176291797872
501,0.13677811550106383
502,0.13373860182340425
503,0.13069908814574469
504,0.1276595744680851
505,0.12158054711276597
506,0.115501519756383
507,0.10942249240106382
508,0.1033434650457447
509,0.09726443769042553
510,0.09118541033404255
511,0.0851063829787234
512,0.08206686930106384
513,0.07902735562340425
514,0.07598784194574469
515,0.07294832826702127
516,0.0699088145893617
517,0.06686930091170212
518,0.06382978723404255
519,0.062310030394680846
520,0.06079027355638299
521,0.05927051671702128
522,0.0577507598787234
523,0.056231003039361696
524,0.05471124620106384
525,0.05319148936170213
526,0.05015197568404256
527,0.04711246200638298
528,0.04407294832872341
529,0.04103343464999999
530,0.03799392097234043
531,0.03495440729468084
532,0.031914893617021274
533,0.031914893617021274
534,0.031914893617021274
535,0.031914893617021274
536,0.031914893617021274
537,0.031914893617021274
538,0.031914893617021274
539,0.031914893617021274
540,0.03495440729468084
541,0.03799392097234043
542,0.04103343464999999
543,0.04407294832872341
544,0.04711246200638298
545,0.05015197568404256
546,0.05319148936170213
547,0.05015197568404256
548,0.04711246200638298
549,0.04407294832872341
550,0.04103343464999999
551,0.03799392097234043
552,0.03495440729468084
